article_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,url,page_url
168198689,Perth-Sydney Motor Recerd. DR. MANNING BEATS WIZARD SMITH BY 11 HOURS 61 MINS.,827,"Transcontinental (Port Augusta, SA : 1914 - 1954)",4,1929-10-18,Article,173,N,0,http://nla.gov.au/nla.news-article168198689,http://trove.nla.gov.au/newspaper/page/19801208
172275147,PERTH TO SYDNEY IN 24 HOURS. NEW AIR SERVICE.,877,"The Manning River Times and Advocate for the Northern Coast Districts of New South Wales (Taree, NSW : 1898 - 1954)",1,1930-09-10,Article,89,N,0,http://nla.gov.au/nla.news-article172275147,http://trove.nla.gov.au/newspaper/page/20501533
173806992,SYDNEY TO PERTH. JOURNEY IN 35 HOURS. BY AEROPLANE AND TRAIN.,877,"The Manning River Times and Advocate for the Northern Coast Districts of New South Wales (Taree, NSW : 1898 - 1954)",6,1929-10-09,Article,183,N,0,http://nla.gov.au/nla.news-article173806992,http://trove.nla.gov.au/newspaper/page/20526563
173205702,Return Flight. PERTH TO SYDNEY. IN 10 HOURS 20 MINUTES.,837,"Daily Mercury (Mackay, Qld. : 1906 - 1954)",7,1934-09-12,Article,181,N,0,http://nla.gov.au/nla.news-article173205702,http://trove.nla.gov.au/newspaper/page/19980452
186092506,In 35 Hours SYDNEY TO PERTH Combined Air and Rail Journey,904,The Inverell Times (NSW : 1899 - 1954),1,1929-10-04,Article,49,N,0,http://nla.gov.au/nla.news-article186092506,http://trove.nla.gov.au/newspaper/page/21211578
192859927,"'PLANE MISSING Between Adelaide and Perth Sydney Airman 36 Hours Overdue Kalgoorlie, Friday.",985,The Armidale Express and New England General Advertiser (NSW : 1856 - 1861; 1863 - 1889; 1891 - 1954),1,1932-01-01,Article,136,N,0,http://nla.gov.au/nla.news-article192859927,http://trove.nla.gov.au/newspaper/page/22103013
192464675,"Perth to Sydney In Ten Hours ""SMITHY'S"" RECORD FLIGHT",1007,"Tweed Daily (Murwillumbah, NSW : 1914 - 1949)",5,1934-09-12,Article,157,Y,0,http://nla.gov.au/nla.news-article192464675,http://trove.nla.gov.au/newspaper/page/21614930
187186204,Flew From Perth To Sydney In 6 Hours 13 Minutesl,892,Warwick Daily News (Qld. : 1919 -1954),5,1949-10-10,Article,239,N,0,http://nla.gov.au/nla.news-article187186204,http://trove.nla.gov.au/newspaper/page/21063823
202734892,"2,459 mile train journey from Perth to Sydney to take only 62 hours",973,The Beverley Times (WA : 1905 - 1977),8,1969-09-26,Article,763,N,0,http://nla.gov.au/nla.news-article202734892,http://trove.nla.gov.au/newspaper/page/22545693
211376702,"Sydney Telegraph Men. OBJECT TO NEW STAFF HOURS. A STRIKE IMMINENT. PERTH, Dec. 16.",1117,Geraldton Express (WA : 1906 - 1919),3,1912-12-16,Article,215,N,0,http://nla.gov.au/nla.news-article211376702,http://trove.nla.gov.au/newspaper/page/23111912
213041082,"MIALS TO AUSTRALIA TWELVE HOURS WASTED AT PERTH. Sydney, Wednesday.",185,The Ballarat Star (Vic. : 1865 - 1924),3,1922-08-24,Article,413,N,0,http://nla.gov.au/nla.news-article213041082,http://trove.nla.gov.au/newspaper/page/21568577
219464669,Perth-Sydney MotorCar Record. Dr. Manning beats Wizard Smith's Record by 11 hours 51 mins,1143,"Eyre's Peninsula Tribune (Cowell, SA : 1910 - 1950)",4,1929-10-10,Article,207,N,0,http://nla.gov.au/nla.news-article219464669,http://trove.nla.gov.au/newspaper/page/23686317
222965130,"50 HOURS PERTH TO SYDNEY AIRSHIP MAIL NEW YORK, Tuesday.",1180,"The Sun (Sydney, NSW : 1910 - 1954)",3 S,1929-08-07,Article,219,N,0,http://nla.gov.au/nla.news-article222965130,http://trove.nla.gov.au/newspaper/page/24489365
224234557,"24 HOURS PERTH TO SYDNEY NEW AIR SERVICE ADELAIDE, Thursday.",1180,"The Sun (Sydney, NSW : 1910 - 1954)",13 S,1930-09-04,Article,90,N,0,http://nla.gov.au/nla.news-article224234557,http://trove.nla.gov.au/newspaper/page/24491500
